-,0,1,2,3,4,5,6,7,8,9
0,976,1,0,0,0,0,2,1,0,0
1,0,1133,2,0,0,0,0,0,0,0
2,6,1,1008,1,1,0,1,11,3,0
3,0,0,2,985,1,7,0,4,6,5
4,1,0,0,0,954,0,5,2,0,20
5,4,0,0,8,1,865,6,1,3,4
6,2,3,0,0,1,1,950,0,1,0
7,2,7,3,0,0,0,0,1007,0,9
8,2,0,3,7,4,3,1,3,946,5
9,4,5,2,6,6,2,1,7,4,972
