-,0,1,2,3,4,5,6,7,8,9
0,978,1,0,0,0,0,0,1,0,0
1,0,1129,3,1,0,1,1,0,0,0
2,9,0,1004,1,1,0,2,9,6,0
3,0,1,1,981,1,9,0,4,9,4
4,2,1,0,0,943,0,6,2,1,27
5,3,1,0,14,1,848,10,1,8,6
6,3,2,0,0,2,3,948,0,0,0
7,3,10,7,0,2,0,0,994,0,12
8,7,2,2,11,2,1,5,4,937,3
9,7,7,1,3,9,3,1,7,4,967
