-,0,1,2,3,4,5,6,7,8,9
0,978,0,0,0,0,0,1,1,0,0
1,0,1131,3,0,0,0,1,0,0,0
2,7,1,1007,3,0,0,1,11,1,1
3,0,0,1,987,0,9,0,5,7,1
4,1,2,0,0,949,0,5,2,0,23
5,5,0,0,14,0,858,5,1,5,4
6,6,3,0,0,1,2,946,0,0,0
7,0,8,6,0,2,0,0,1003,0,9
8,5,1,3,9,2,5,5,4,935,5
9,7,8,1,6,7,3,0,7,4,966
