-,0,1,2,3,4,5,6,7,8,9
0,978,1,0,0,0,0,0,1,0,0
1,0,1133,2,0,0,0,0,0,0,0
2,6,1,1007,2,1,0,1,11,3,0
3,0,0,1,985,1,7,0,4,7,5
4,1,0,0,0,954,0,5,2,0,20
5,4,0,0,8,1,867,6,1,1,4
6,2,3,0,0,1,1,950,0,1,0
7,2,7,3,0,0,0,0,1007,0,9
8,2,0,3,7,3,3,1,3,947,5
9,4,4,2,6,6,2,1,6,4,974
