-,0,1,2,3,4,5,6,7,8,9
0,977,1,0,0,0,0,1,1,0,0
1,0,1129,3,1,0,0,2,0,0,0
2,8,0,1009,1,1,0,0,8,5,0
3,0,1,3,976,1,12,0,4,9,4
4,2,1,0,0,946,0,6,2,0,25
5,4,0,0,9,1,863,7,1,4,3
6,3,3,0,0,1,3,948,0,0,0
7,2,10,4,0,1,0,0,998,0,13
8,7,1,2,9,3,3,5,4,936,4
9,7,7,2,5,7,3,1,4,3,970
