N features,my_own,brute,kd_tree,ball_tree
10,0.0004963874816894531,0.0014357566833496094,6.8143744468688965,6.534663200378418
20,0.00024890899658203125,0.002202272415161133,6.432100534439087,6.180886507034302
100,0.0002567768096923828,0.008463621139526367,6.717415809631348,6.7652366161346436
